title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
Attack on Titan / A.O.T.: Wings of Freedom + All DLCs,http://fitgirl-repacks.site/attack-titan-o-t-wings-freedom-dlcs/,2016-08-27,203,Action  Slasher  Third-person  3D,Omega Force / Koei Tecmo,ENG/MULTI3,11571,5529,0.48,
ATV Drift & Tricks + Multiplayer,http://fitgirl-repacks.site/atv-drift-tricks/,2017-11-16,2,Racing  Third-person  3D  ATV,Artefacts Studio / Microids,ENG/MULTI5,5836,2560,0.44,
Autobahn Police Simulator 2 – v1.0.2,http://fitgirl-repacks.site/autobahn-police-simulator-2/,2017-12-08,2,Driving  Simulation  3D,Z-Software  Aerosoft,ENG/GER,7475,2969,0.4,
Automobilista – v1.4.8 + 6 DLCs,http://fitgirl-repacks.site/automobilista/,2017-10-11,90,Racing  Simulation  3D,,ENG/MULTI7,23552,12697,0.54,
Aven Colony  v1.0.23705 + DLC,http://fitgirl-repacks.site/aven-colony/,2017-12-09,17,Managerial  Strategy  3D  Pausable real-time,Mothership Entertainment / Team17 Digital,RUS/ENG/MULTI7,12185,7168,0.59,
BAJA: Edge of Control HD,http://fitgirl-repacks.site/baja-edge-of-control-hd/,2017-09-18,2,Arcade  Racing  Third-person  3D,2XL Games / THQ Nordic,ENG/MULTI5,4403,2969,0.67,
Baldur’s Gate: Enhanced Edition – Siege of Dragonspear,http://fitgirl-repacks.site/baldurs-gate-enhanced-edition-siege-of-dragonspear/,2016-07-25,7,,,RUS/ENG/MULTI14Original Size: 3.9 GBRepack Size: from 2.4 GB [Selective Download],3993,2457,0.62,
Batman: Arkham Asylum – Game of the Year Edition + Joker & Prey in the Darkness DLCs,http://fitgirl-repacks.site/batman-arkham-asylum-goty/,2017-10-09,,Action  Stealth  Beat ’em up (Brawler)  Third-person  3D,Rocksteady Studios / Eidos Interactive,RUS/ENG/MULTI6,7987,4403,0.55,
Batman: Arkham City – Game of The Year Edition,http://fitgirl-repacks.site/batman-arkham-city-game-year-edition/,2017-06-01,96,Action  Stealth  Beat ’em up (Brawler)  Third-person  3D,Rocksteady Studios / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI9,16998,11468,0.67,
Batman: Arkham Knight,http://fitgirl-repacks.site/batman-arkham-knight/,2016-07-19,87,,,RUS/ENG/MULTI7Original Size: 50.2 GBRepack Size: 25.3~27 GB [Selective Download],51404,25907,0.5,
Batman: Arkham Knight – Premium Edition – v1.6.2.0 + All DLCs,http://fitgirl-repacks.site/batman-arkham-knight-premium-edition-v1-6-2-0-dlcs/,2017-05-12,553,Action  Open world  Third-person  3D,Rocksteady Studios  Iron Galaxy Studios  Warner Bros.,RUS/ENG/MULTI10,69222,27545,0.4,
Batman: Arkham Origins – The *REALLY* Complete Edition,http://fitgirl-repacks.site/batman-arkham-origins-the-really-complete-edition/,2016-07-18,75,,,RUS/ENG/MULTI10Original Size: 28 GBRepack Size: 9.7 GB [Selective Download],28672,9932,0.35,
Batman: The Telltale Series – Complete Season (Episodes 1-5),http://fitgirl-repacks.site/batman-telltale-series-complete-season-episodes-1-5/,2016-12-26,142,Adventure  Third-person  3D,,RUS/ENG/MULTI9,12288,5324,0.43,
Battle Chasers: Nightwar,http://fitgirl-repacks.site/battle-chasers-nightwar/,2017-10-04,,RPG  Dungeon crawl  Isometric  Side  3D  Turn-based,Airship Syndicate / THQ Nordic,RUS/ENG/MULTI11,3788,2457,0.65,
Battle Fantasia -Revised Edition-,http://fitgirl-repacks.site/battle-fantasia-revised-edition/,2016-07-18,1,,,ENG/MULTI6Original Size: 2.3 GBRepack Size: 1.3/1.5 GB [Selective Download],2355,1331,0.57,
Battlefield 1: Digital Deluxe Edition – Update 3 + 3 DLC,http://fitgirl-repacks.site/battlefield-1-digital-deluxe-edition-update-3-3-dlc/,2017-02-08,1,Action  Shooter  World War I  First-person  3D,DICE / EA,RUS/ENG/MULTI12,51200,16998,0.33,
Battlefield: Hardline,http://fitgirl-repacks.site/battlefield-hardline/,2016-07-19,76,,,RUS/ENG/MULTI6Original Size: 48.4 GBRepack Size: 23.3 GB [Selective Download],49561,23859,0.48,
Battlefleet Gothic: Armada v1.5.8536 + Space Marines DLC,http://fitgirl-repacks.site/battlefleet-gothic-armada-v1-5-8536-space-marines-dlc/,2016-07-29,11,,,ENGOriginal Size: 10.9 GBRepack Size: 3.9 GB,11161,3993,0.36,
